ID,开始时间(UTC),结束时间(UTC),赛事名称,队伍1,队伍2,赛制,状态,结果,状态码,API状态,赛事ID,游戏类型,赛事等级,赛事星级,BO场次,地图信息,轮次名称,阶段描述,完整赛事阶段,预估时长(小时)
"csgo_mc_2387583","2025-11-01T09:00:00+00:00","2025-11-01T11:30:00+00:00","CCT 第3赛季 竞争者东欧系列赛 1 ","Lazer Cats","QWENTRY","BO3","已结束","2-0","2","2","csgo_tt_8805","CS:GO","其他","0","","","1/4决赛","淘汰赛 1/4决赛","淘汰赛 1/4决赛","2.5"
"csgo_mc_2387566","2025-11-01T09:00:00+00:00","2025-11-01T11:30:00+00:00","NODWIN Clutch 系列 第2赛季","9BOOMPRO","AMKAL","BO3","已结束","2-0","2","2","csgo_tt_8795","CS:GO","C级","0","","","第一轮","小组赛 第一轮","小组赛 第一轮","2.5"
"csgo_mc_2387523","2025-11-01T09:00:00+00:00","2025-11-01T11:30:00+00:00","欧洲职业联赛杯 2","K27","Preasy Mix","BO3","已结束","2-0","2","2","csgo_tt_8806","CS:GO","其他","0","","","首轮","淘汰赛 败者组 首轮","淘汰赛 败者组 首轮","2.5"
"csgo_mc_2387351","2025-11-01T09:00:00+00:00","2025-11-01T11:30:00+00:00","PGL布加勒斯特大师赛","GL","SAW","BO3","已结束","1-2","2","2","csgo_tt_8046","CS:GO","B级","1","","","","季军赛 ","季军赛","2.5"
"csgo_mc_2386935","2025-11-01T09:00:00+00:00","2025-11-01T11:30:00+00:00","CCT 第3赛季 欧洲系列赛 9","FUT","Partizan","BO3","已结束","2-1","2","2","csgo_tt_8766","CS:GO","C级","0","","","八强","淘汰赛 八强","淘汰赛 八强","2.5"
"csgo_mc_2387066","2025-11-01T09:30:00+00:00","2025-11-01T12:00:00+00:00","CCT 第3赛季 欧洲系列赛 10","VRSoholics","CPH Wolves","BO3","已结束","2-1","2","2","csgo_tt_8774","CS:GO","C级","0","","","第三轮","小组赛 第三轮","小组赛 第三轮","2.5"
"csgo_mc_2387584","2025-11-01T11:30:00+00:00","2025-11-01T14:00:00+00:00","CCT 第3赛季 竞争者东欧系列赛 1 ","SPARTA","Novaq","BO3","已结束","2-1","2","2","csgo_tt_8805","CS:GO","其他","0","","","1/4决赛","淘汰赛 1/4决赛","淘汰赛 1/4决赛","2.5"
"csgo_mc_2387561","2025-11-01T11:30:00+00:00","2025-11-01T14:00:00+00:00","ESEA 发展联赛 第55赛季 欧洲精英杯 1","MANA","Bushido Wildcats","BO3","已结束","0-2","2","2","csgo_tt_8808","CS:GO","其他","0","","","1/4决赛","淘汰赛 1/4决赛","淘汰赛 1/4决赛","2.5"
"csgo_mc_2387567","2025-11-01T12:00:00+00:00","2025-11-01T14:30:00+00:00","NODWIN Clutch 系列 第2赛季","JJH","Fire Flux","BO3","已结束","0-2","2","2","csgo_tt_8795","CS:GO","C级","0","","","第一轮","小组赛 第一轮","小组赛 第一轮","2.5"
"csgo_mc_2386936","2025-11-01T12:10:00+00:00","2025-11-01T14:40:00+00:00","CCT 第3赛季 欧洲系列赛 9","Venom","CYBERSHOKE","BO3","已结束","2-1","2","2","csgo_tt_8766","CS:GO","C级","0","","","八强","淘汰赛 八强","淘汰赛 八强","2.5"
"csgo_mc_2387067","2025-11-01T12:16:34+00:00","2025-11-01T14:46:34+00:00","CCT 第3赛季 欧洲系列赛 10","Nexus","Washington","BO3","已结束","1-0","2","2","csgo_tt_8774","CS:GO","C级","0","","","第三轮","小组赛 第三轮","小组赛 第三轮","2.5"
"csgo_mc_2387352","2025-11-01T12:25:00+00:00","2025-11-01T16:25:00+00:00","PGL布加勒斯特大师赛","Aurora","Legacy","BO5","已结束","3-2","2","2","csgo_tt_8046","CS:GO","B级","3","","","决赛","淘汰赛 决赛","淘汰赛 决赛","4.0"
"csgo_mc_2387605","2025-11-01T13:00:00+00:00","2025-11-01T15:30:00+00:00","Epic 46","Nemesis","MINLATE","BO3","已结束","1-2","2","2","csgo_tt_8802","CS:GO","其他","0","","","半决赛","淘汰赛 胜者组 半决赛","淘汰赛 胜者组 半决赛","2.5"
"csgo_mc_2387604","2025-11-01T13:15:00+00:00","2025-11-01T15:45:00+00:00","Epic 46","Prestige","Phantom","BO3","已结束","2-0","2","2","csgo_tt_8802","CS:GO","其他","0","","","半决赛","淘汰赛 胜者组 半决赛","淘汰赛 胜者组 半决赛","2.5"
"csgo_mc_2387577","2025-11-01T14:00:00+00:00","2025-11-01T16:30:00+00:00","DACH 大师赛 第4赛季","6GPA","Wave","BO3","已结束","0-2","2","2","csgo_tt_8810","CS:GO","","0","","","首轮","淘汰赛 败者组 首轮","淘汰赛 败者组 首轮","2.5"
"csgo_mc_2387576","2025-11-01T14:00:00+00:00","2025-11-01T16:30:00+00:00","DACH 大师赛 第4赛季","Reveal","BIG.A","BO3","已结束","0-2","2","2","csgo_tt_8810","CS:GO","","0","","","首轮","淘汰赛 败者组 首轮","淘汰赛 败者组 首轮","2.5"
"csgo_mc_2387693","2025-11-01T14:45:00+00:00","2025-11-01T17:15:00+00:00","游戏地带杯 2025","Aab","YinYang","BO3","已结束","2-1","2","2","csgo_tt_8803","CS:GO","其他","0","","","半决赛","淘汰赛 半决赛","淘汰赛 半决赛","2.5"
"csgo_mc_2387585","2025-11-01T14:45:00+00:00","2025-11-01T17:15:00+00:00","CCT 第3赛季 竞争者东欧系列赛 1 ","Insilio","ARCRED","BO3","已结束","2-0","2","2","csgo_tt_8805","CS:GO","其他","0","","","1/4决赛","淘汰赛 1/4决赛","淘汰赛 1/4决赛","2.5"
"csgo_mc_2387568","2025-11-01T15:00:00+00:00","2025-11-01T17:30:00+00:00","NODWIN Clutch 系列 第2赛季","Nuclear TigeRES","FORZE Reload","BO3","已结束","1-2","2","2","csgo_tt_8795","CS:GO","C级","0","","","第一轮","小组赛 第一轮","小组赛 第一轮","2.5"
"csgo_mc_2387430","2025-11-01T15:00:00+00:00","2025-11-01T17:30:00+00:00","银河之战 2025 第5阶段 公开预选","Fire Flux","Novaq","BO3","已结束","2-0","2","2","csgo_tt_8797","CS:GO","其他","0","","","决赛","小组赛 胜者组 决赛","小组赛 胜者组 决赛","2.5"
"csgo_mc_2386937","2025-11-01T15:15:00+00:00","2025-11-01T17:45:00+00:00","CCT 第3赛季 欧洲系列赛 9","ECSTATIC","BC.Game","BO3","已结束","2-1","2","2","csgo_tt_8766","CS:GO","C级","0","","","八强","淘汰赛 八强","淘汰赛 八强","2.5"
"csgo_mc_2387068","2025-11-01T15:30:00+00:00","2025-11-01T18:00:00+00:00","CCT 第3赛季 欧洲系列赛 10","500","AI","BO3","已结束","2-1","2","2","csgo_tt_8774","CS:GO","C级","0","","","第三轮","小组赛 第三轮","小组赛 第三轮","2.5"
