ID,开始时间(UTC),赛事名称,队伍1,队伍2,赛制,状态,结果,状态码,API状态,赛事ID,游戏类型,赛事等级,赛事星级,BO场次,地图信息,轮次名称,阶段描述
"dt_mc_20250902164802fhpe1","2025-09-07T08:00:00+00:00","TI14国际邀请赛","Aurora","NGX","BO3","已结束","1-2","2","2","dt_tt_20250524123429r04um","Dota 2","S级","2","","","","突围赛 "
"dt_mc_20250902164802ajmcx","2025-09-07T12:10:00+00:00","TI14国际邀请赛","PARI","Wildcard","BO3","已结束","2-0","2","2","dt_tt_20250524123429r04um","Dota 2","S级","2","","","","突围赛 "
"dt_mc_202509021648020mlgb","2025-09-07T14:46:00+00:00","TI14国际邀请赛","Tundra","Liquid","BO3","已结束","2-1","2","2","dt_tt_20250524123429r04um","Dota 2","S级","2","","","","突围赛 "
"dt_mc_20250902164803yfzwo","2025-09-07T18:55:00+00:00","TI14国际邀请赛"," Falcons","TSpirit","BO3","已结束","2-0","2","2","dt_tt_20250524123429r04um","Dota 2","S级","2","","","","突围赛 "
"dt_mc_20250826203854xvxvw","2025-09-08T03:03:00+00:00","欧洲职业联赛 世界系列赛：东南亚 第八季","Kopite","CARST","BO3","已结束","1-2","2","2","dt_tt_20250823125651vnhby","Dota 2","其他","","","","1/4决赛","淘汰赛 败者组 1/4决赛"
"dt_mc_20250826203855xk4i0","2025-09-08T06:36:00+00:00","欧洲职业联赛 世界系列赛：东南亚 第八季","MongolZ","Veroja","BO3","已结束","2-0","2","2","dt_tt_20250823125651vnhby","Dota 2","其他","","","","1/4决赛","淘汰赛 败者组 1/4决赛"
"dt_mc_20250909083251voi1t","2025-09-08T12:01:00+00:00","欧洲职业联赛 第三十赛季","L1ga","Passion","BO3","已结束","2-1","2","2","dt_tt_20250909071451nykoy","Dota 2","其他","","","","","小组赛"
"dt_mc_20250909083851xx8re","2025-09-08T15:38:00+00:00","欧洲职业联赛 第三十赛季","LVLUP","Passion","BO3","已结束","0-2","2","2","dt_tt_20250909071451nykoy","Dota 2","其他","","","","","小组赛"
"dt_mc_20250901235357cye5p","2025-09-08T18:05:00+00:00","ACS 系列赛 2","TW","Allstars","BO3","已结束","2-1","2","2","dt_tt_20250901235351dhf4h","Dota 2","","","","","","小组赛"
"dt_mc_20250907214752xb97n","2025-09-08T21:29:00+00:00","ACS 系列赛 2","Tortu Ninjas","Fantasy","BO3","已结束","0-2","2","2","dt_tt_20250901235351dhf4h","Dota 2","","","","","","小组赛"
"dt_mc_202508262038559m25h","2025-09-09T03:18:00+00:00","欧洲职业联赛 世界系列赛：东南亚 第八季","CARST","MongolZ","BO3","已结束","0-2","2","2","dt_tt_20250823125651vnhby","Dota 2","其他","","","","半决赛","淘汰赛 败者组 半决赛"
"dt_mc_20250826203856w4ejn","2025-09-09T06:01:00+00:00","欧洲职业联赛 世界系列赛：东南亚 第八季","Ivory","REKONIX","BO3","已结束","0-2","2","2","dt_tt_20250823125651vnhby","Dota 2","其他","","","","决赛","淘汰赛 胜者组 决赛"
"dt_mc_20250909071452zzyik","2025-09-09T09:34:00+00:00","欧洲职业联赛 第三十赛季","Team lynx","LVLUP","BO3","已结束","2-0","2","2","dt_tt_20250909071451nykoy","Dota 2","其他","","","","","小组赛"
